instance,method,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,n,3,0.0,93,0.8115942028985508,0.7246376811594203,0.7428571428571429,3.3503434658050537,0.0
breast-cancer,rb,3,0.0,93,0.7874396135265701,,0.7428571428571429,4.96923565864563,0.0
breast-cancer,cp,3,0.0,93,0.7874396135265701,,0.7428571428571429,6.677499532699585,0.0
breast-cancer,n,3,0.01,93,0.8115942028985508,0.7246376811594203,0.7428571428571429,2.185222625732422,0.0
breast-cancer,rb,3,0.01,93,0.7874396135265701,,0.7428571428571429,3.0628769397735596,0.0
breast-cancer,cp,3,0.01,93,0.7874396135265701,,0.7428571428571429,9.154778480529785,0.0
breast-cancer,n,3,0.1,93,0.7608695652173914,0.6811594202898551,0.6285714285714286,0.584327220916748,0.0
breast-cancer,rb,3,0.1,93,0.7342995169082126,,0.6285714285714286,1.0519232749938965,0.0
breast-cancer,cp,3,0.1,93,0.7342995169082126,,0.6285714285714286,1.4698379039764404,0.0
breast-cancer,n,3,0.0,5,0.8043478260869565,0.7391304347826086,0.7571428571428571,1.8495910167694092,0.0
breast-cancer,rb,3,0.0,5,0.7874396135265701,,0.7428571428571429,5.039771556854248,0.0
breast-cancer,cp,3,0.0,5,0.7874396135265701,,0.7285714285714285,5.741499900817871,0.0
breast-cancer,n,3,0.01,5,0.8043478260869565,0.7391304347826086,0.7428571428571429,1.645397424697876,0.0
breast-cancer,rb,3,0.01,5,0.782608695652174,,0.7428571428571429,5.829772710800171,0.0
breast-cancer,cp,3,0.01,5,0.782608695652174,,0.7571428571428571,7.660369396209717,0.0
breast-cancer,n,3,0.1,5,0.7318840579710145,0.6956521739130435,0.6714285714285714,0.381697416305542,0.0
breast-cancer,rb,3,0.1,5,0.7198067632850241,,0.6714285714285714,0.8353545665740967,0.0
breast-cancer,cp,3,0.1,5,0.7198067632850241,,0.6714285714285714,1.1237618923187256,0.0
