instance,method,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,n,3,0.0,11,0.7971014492753623,0.6956521739130435,0.7857142857142857,1.6241443157196045,0.0
breast-cancer,rb,3,0.0,11,0.7729468599033816,,0.7857142857142857,2.8703439235687256,0.0
breast-cancer,cp,3,0.0,11,0.7729468599033816,,0.7857142857142857,7.434111833572388,0.0
breast-cancer,n,3,0.01,11,0.7971014492753623,0.6956521739130435,0.7857142857142857,1.9536991119384766,0.0
breast-cancer,rb,3,0.01,11,0.7681159420289855,,0.8,4.6475160121917725,0.0
breast-cancer,cp,3,0.01,11,0.7681159420289855,,0.8,4.536335229873657,0.0
breast-cancer,n,3,0.1,11,0.7101449275362319,0.6666666666666666,0.7428571428571429,0.5562045574188232,0.0
breast-cancer,rb,3,0.1,11,0.6956521739130435,,0.7428571428571429,1.1794183254241943,0.0
breast-cancer,cp,3,0.1,11,0.6956521739130435,,0.7428571428571429,0.8051028251647949,0.0
breast-cancer,n,3,0.0,23,0.7898550724637681,0.7681159420289855,0.7142857142857143,1.720093011856079,0.0
breast-cancer,rb,3,0.0,23,0.7971014492753623,,0.6571428571428571,6.425342321395874,0.0
breast-cancer,cp,3,0.0,23,0.7971014492753623,,0.6571428571428571,8.902263164520264,0.0
breast-cancer,n,3,0.01,23,0.7898550724637681,0.7681159420289855,0.7142857142857143,1.6578757762908936,0.0
breast-cancer,rb,3,0.01,23,0.7971014492753623,,0.6571428571428571,2.888930320739746,0.0
breast-cancer,cp,3,0.01,23,0.7971014492753623,,0.6571428571428571,8.843998432159424,0.0
breast-cancer,n,3,0.1,23,0.6956521739130435,0.6811594202898551,0.7571428571428571,0.6781713962554932,0.0
breast-cancer,rb,3,0.1,23,0.6908212560386473,,0.7571428571428571,1.0052199363708496,0.0
breast-cancer,cp,3,0.1,23,0.6908212560386473,,0.7571428571428571,1.3833990097045898,0.0
breast-cancer,n,3,0.0,34,0.7971014492753623,0.7101449275362319,0.6857142857142857,1.4745547771453857,0.0
breast-cancer,rb,3,0.0,34,0.7681159420289855,,0.6857142857142857,2.259580612182617,0.0
breast-cancer,cp,3,0.0,34,0.7681159420289855,,0.6571428571428571,9.22745943069458,0.0
breast-cancer,n,3,0.01,34,0.7971014492753623,0.6666666666666666,0.8,1.858734130859375,0.0
breast-cancer,rb,3,0.01,34,0.7681159420289855,,0.7714285714285715,3.1602296829223633,0.0
breast-cancer,cp,3,0.01,34,0.7681159420289855,,0.6571428571428571,9.632627487182617,0.0
breast-cancer,n,3,0.1,34,0.717391304347826,0.6086956521739131,0.7857142857142857,0.5740892887115479,0.0
breast-cancer,rb,3,0.1,34,0.6811594202898551,,0.7857142857142857,1.2705063819885254,0.0
breast-cancer,cp,3,0.1,34,0.6811594202898551,,0.7857142857142857,1.7215194702148438,0.0
breast-cancer,n,3,0.0,45,0.8043478260869565,0.7391304347826086,0.6571428571428571,1.4344754219055176,0.0
breast-cancer,rb,3,0.0,45,0.7971014492753623,,0.7142857142857143,2.4681026935577393,0.0
breast-cancer,cp,3,0.0,45,0.7971014492753623,,0.7142857142857143,7.548489809036255,0.0
breast-cancer,n,3,0.01,45,0.8043478260869565,0.7391304347826086,0.6571428571428571,1.8119463920593262,0.0
breast-cancer,rb,3,0.01,45,0.7922705314009661,,0.7285714285714285,2.6819522380828857,0.0
breast-cancer,cp,3,0.01,45,0.7922705314009661,,0.7285714285714285,7.2173357009887695,0.0
breast-cancer,n,3,0.1,45,0.7101449275362319,0.7101449275362319,0.7,0.40172624588012695,0.0
breast-cancer,rb,3,0.1,45,0.7101449275362319,,0.7,0.8913228511810303,0.0
breast-cancer,cp,3,0.1,45,0.7101449275362319,,0.7,1.8325984477996826,0.0
breast-cancer,n,3,0.0,56,0.7898550724637681,0.7536231884057971,0.6714285714285714,4.023703098297119,0.0
breast-cancer,rb,3,0.0,56,0.782608695652174,,0.7571428571428571,6.1801958084106445,0.0
breast-cancer,cp,3,0.0,56,0.782608695652174,,0.7428571428571429,8.87366771697998,0.0
breast-cancer,n,3,0.01,56,0.7898550724637681,0.7536231884057971,0.6714285714285714,2.061861991882324,0.0
breast-cancer,rb,3,0.01,56,0.7777777777777778,,0.7571428571428571,5.423206806182861,0.0
breast-cancer,cp,3,0.01,56,0.7777777777777778,,0.7571428571428571,7.365497350692749,0.0
breast-cancer,n,3,0.1,56,0.7101449275362319,0.7681159420289855,0.6428571428571429,0.6491122245788574,0.0
breast-cancer,rb,3,0.1,56,0.7294685990338164,,0.6428571428571429,1.2045340538024902,0.0
breast-cancer,cp,3,0.1,56,0.7294685990338164,,0.6428571428571429,1.7633461952209473,0.0
