instance,depth,seed,train_acc,val_acc,test_acc,train_time
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.0010113716125488281
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.0009710788726806641
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0009989738464355469
breast-cancer,3,37,0.7971014492753623,0.782608695652174,0.7428571428571429,0.0010006427764892578
breast-cancer,3,42,0.8260869565217391,0.6956521739130435,0.7285714285714285,0.0010004043579101562
breast-cancer,3,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,0.0
breast-cancer,4,37,0.8260869565217391,0.782608695652174,0.7,0.0010039806365966797
breast-cancer,4,42,0.8695652173913043,0.7101449275362319,0.7428571428571429,0.0
breast-cancer,4,53,0.855072463768116,0.6956521739130435,0.6857142857142857,0.0009987354278564453
breast-cancer,5,37,0.8623188405797102,0.7391304347826086,0.6714285714285714,0.0
breast-cancer,5,42,0.9057971014492754,0.7246376811594203,0.7,0.0009982585906982422
breast-cancer,5,53,0.8840579710144928,0.7101449275362319,0.6714285714285714,0.0009970664978027344
