instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,2,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,0.6064765453338623,0.0
breast-cancer,2,0.0,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,1.5596306324005127,0.0
breast-cancer,2,0.01,53,0.8260869565217391,0.6956521739130435,0.6714285714285714,1.9772374629974363,0.0
breast-cancer,2,0.1,53,0.7391304347826086,0.7536231884057971,0.6,0.4902544021606445,0.0
breast-cancer,3,0.0,37,0.8333333333333334,0.7391304347826086,0.7,600.4456548690796,0.0442028985507241
breast-cancer,3,0.01,37,0.8333333333333334,0.7391304347826086,0.7,600.3006219863892,0.0416396779864893
breast-cancer,3,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,1.643144130706787,0.0
breast-cancer,3,0.0,42,0.8478260869565217,0.6521739130434783,0.8,529.6863121986389,0.0
breast-cancer,3,0.01,42,0.8478260869565217,0.6521739130434783,0.8,543.150443315506,0.0
breast-cancer,3,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,1.4452428817749023,0.0
breast-cancer,3,0.0,53,0.855072463768116,0.7246376811594203,0.7,334.3142349720001,0.0
breast-cancer,3,0.01,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,491.7187316417694,6.0092542514330395e-05
breast-cancer,3,0.1,53,0.7391304347826086,0.7536231884057971,0.6,0.8369870185852051,0.0
breast-cancer,4,0.0,37,0.8913043478260869,0.6956521739130435,0.6857142857142857,600.3371880054474,0.12195121951219555
breast-cancer,4,0.01,37,0.8695652173913043,0.7536231884057971,0.7,600.3993294239044,0.2036082864253233
breast-cancer,4,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,7.27798318862915,0.0
breast-cancer,4,0.0,42,0.8913043478260869,0.7101449275362319,0.7,600.4659988880157,0.12195121951219673
breast-cancer,4,0.01,42,0.8913043478260869,0.7246376811594203,0.7142857142857143,600.360116481781,0.16990783603617424
breast-cancer,4,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,3.1886699199676514,0.0
breast-cancer,4,0.0,53,0.8840579710144928,0.7246376811594203,0.7285714285714285,600.4085419178009,0.13114752746834935
breast-cancer,4,0.01,53,0.8188405797101449,0.7536231884057971,0.7142857142857143,600.391175031662,0.1866135737338194
breast-cancer,4,0.1,53,0.7391304347826086,0.7536231884057971,0.6,1.9743084907531738,0.0
breast-cancer,5,0.0,37,0.9130434782608695,0.6956521739130435,0.6857142857142857,600.2609689235687,0.09523809438515711
breast-cancer,5,0.01,37,0.8260869565217391,0.8115942028985508,0.6857142857142857,600.3300979137421,0.23868230396669743
breast-cancer,5,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,1.5702319145202637,0.0
breast-cancer,5,0.0,42,0.9492753623188406,0.5942028985507246,0.7,600.2965686321259,0.05343511450381816
breast-cancer,5,0.01,42,0.855072463768116,0.7536231884057971,0.7285714285714285,600.2802517414093,0.19178276428741037
breast-cancer,5,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,4.108556747436523,0.0
breast-cancer,5,0.0,53,0.927536231884058,0.7391304347826086,0.6285714285714286,600.4053041934967,0.07812499999999853
breast-cancer,5,0.01,53,0.8405797101449275,0.7101449275362319,0.7,600.3078370094299,0.18837722707627094
breast-cancer,5,0.1,53,0.7391304347826086,0.7536231884057971,0.6,2.148740530014038,0.0
