,instance,depth,OCT,binOCT,flowOCT,CART
0,balance-scale,2,0.6942675159235668,0.6496815286624203,0.6709129511677282,
1,balance-scale,3,0.7112526539278131,0.6518046709129511,0.6985138004246284,
2,balance-scale,4,0.7579617834394905,0.6857749469214437,0.7388535031847133,
3,balance-scale,5,0.7643312101910829,0.6751592356687898,0.7165605095541401,
4,breast-cancer,2,0.6904761904761904,0.6857142857142856,0.6809523809523809,0.7095238095238096
5,breast-cancer,3,0.6952380952380951,0.7047619047619048,0.6809523809523809,0.7285714285714286
6,breast-cancer,4,0.7095238095238096,0.7095238095238096,0.7095238095238096,0.7142857142857143
7,breast-cancer,5,0.7095238095238096,0.6190476190476191,0.7047619047619048,0.6809523809523809
