id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
43,267,7.16,2,376,1,275,1,608,11,238,0.83,39,56,382,76,299,83,350,13,206,92,0.89,208,142,52,78,120,187,44,22,0,0
44,262,7.03,2,369,1,261,1,670,12,195,0.85,37,60,458,71,366,87,363,17,190,91,0.98,969,165,50,82,122,177,48,22,1,0
45,243,6.64,2,420,1,257,1,649,11,250,0.7,34,71,428,72,356,87,382,17,189,93,0.96,758,165,53,90,128,182,39,20,0,0
46,278,6.71,2,384,1,307,1,579,11,235,0.73,40,65,451,75,353,85,347,15,189,84,1.01,960,148,52,87,120,223,44,18,4,0
47,246,7.58,2,388,0,279,1,579,11,264,0.78,35,65,461,91,325,84,357,16,196,90,0.86,612,156,48,97,114,190,45,19,0,0
48,210,7.56,2,449,1,290,2,682,12,254,0.82,38,67,423,71,328,83,364,16,211,88,1.1,467,146,46,76,117,185,47,23,0,0
49,274,7.54,2,386,1,275,2,677,12,219,0.68,37,54,442,73,318,76,383,14,182,73,0.95,1070,166,48,83,122,172,43,24,4,0
50,237,7.03,2,371,1,295,1,570,12,223,0.75,36,51,454,80,322,84,383,13,191,92,0.83,764,133,52,87,103,204,40,18,2,0
51,261,6.73,2,401,1,290,1,569,11,206,0.59,38,68,383,70,341,94,373,14,195,95,0.89,538,143,45,88,133,192,41,21,0,0
52,256,7.07,2,449,1,265,1,648,11,199,0.81,36,72,459,72,355,84,390,15,186,83,1.05,634,144,45,90,137,171,42,25,2,0
53,248,6.71,2,387,1,317,2,625,9,233,0.73,38,62,439,77,307,90,399,15,168,83,1.08,697,137,47,92,123,183,41,21,0,0
54,270,6.98,3,428,1,273,1,601,11,236,0.67,39,61,439,74,323,87,364,16,179,88,1.14,496,141,53,88,121,194,44,24,3,0
55,234,7.35,3,388,1,315,1,515,14,218,0.74,38,64,451,72,339,83,388,16,185,94,0.9,870,152,59,86,115,187,41,24,0,0
56,219,6.71,2,432,1,280,1,648,11,234,0.82,38,64,457,93,342,81,336,16,217,86,1.05,1041,162,58,91,119,163,41,20,6,0
57,236,7.16,2,392,2,268,1,572,11,216,0.75,36,60,404,73,296,88,375,14,194,82,0.98,977,127,51,75,124,190,40,21,0,0
58,259,7.11,3,390,1,244,0,539,11,240,0.64,39,61,438,78,347,83,355,13,188,86,0.85,676,149,49,83,120,194,39,25,2,0
59,239,7.35,2,414,1,268,1,556,12,228,0.74,37,54,423,73,331,79,398,14,212,90,0.89,1070,135,55,93,112,208,41,23,3,0
60,236,7.41,2,349,2,240,2,647,11,220,0.68,37,61,452,77,357,81,369,13,187,93,1.11,446,141,50,89,111,193,41,22,3,0
61,239,6.94,2,389,1,278,2,624,8,244,0.73,39,65,433,74,295,78,349,15,222,100,1.01,807,128,47,82,112,184,41,18,3,0
62,219,7.19,3,369,0,277,2,680,11,239,0.72,37,75,402,74,338,89,375,15,193,89,0.92,831,144,52,87,128,186,37,25,0,0
63,227,6.88,3,340,2,314,1,600,11,240,0.79,38,63,431,73,324,90,385,13,207,88,0.95,622,160,55,82,122,172,38,17,4,0
64,295,4.24,2,354,3,321,4,605,12,227,1.34,38,70,400,91,304,89,346,55,206,60,0.97,744,102,81,67,130,183,41,14,5,1
65,272,4.01,1,356,2,311,4,627,8,190,1.32,40,76,445,90,333,87,367,49,233,90,0.99,690,111,64,60,140,187,45,14,6,1
66,276,4.09,2,348,3,286,4,566,8,209,1.25,38,71,444,95,315,97,348,38,200,56,0.94,899,121,83,68,144,201,42,15,4,1
67,300,4.05,2,345,3,270,3,557,8,213,1.28,34,77,449,93,330,86,385,37,225,65,0.8,833,115,70,60,152,174,51,14,5,1
68,269,4.26,2,342,3,282,4,558,9,207,1.05,34,82,468,92,313,76,369,33,234,78,1.02,793,111,81,65,140,186,44,17,0,1
69,247,4.15,2,348,3,303,5,518,8,218,1.13,34,78,437,108,294,90,339,36,238,77,0.84,771,116,84,69,135,182,39,15,4,1
70,296,4.07,2,348,3,365,3,584,10,219,1.28,34,69,492,93,347,84,342,46,224,62,1,965,96,77,60,146,197,41,15,9,1
