id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
186,289,4.07,2,316,4,305,4,546,9,203,1.35,34,70,465,87,305,97,420,37,224,72,1.15,554,112,65,53,145,200,43,15,12,1
187,271,4.24,2,350,3,298,5,621,9,191,1.26,42,69,481,98,322,88,272,39,196,74,0.83,717,111,78,59,153,186,37,15,2,1
188,279,4.49,2,343,2,331,4,561,8,236,1.17,33,72,387,86,278,99,333,44,192,67,0.9,771,106,80,59,132,163,35,14,1,1
189,263,4.46,3,339,2,294,4,553,9,211,1.26,33,71,451,88,342,87,298,38,196,75,0.71,897,118,65,57,156,183,41,13,1,1
190,271,4.3,1,318,3,336,3,617,9,232,1.29,28,69,479,88,311,93,272,42,194,77,0.94,883,115,74,59,149,161,47,14,7,1
191,279,4.28,2,313,3,327,4,621,9,207,1.22,35,58,505,94,341,83,392,44,186,78,0.95,576,116,82,61,152,165,38,15,2,1
192,262,4.32,2,360,3,325,4,653,8,244,1.3,31,77,441,105,341,96,331,40,212,78,0.74,793,104,88,65,145,206,40,17,10,1
193,284,4.56,2,331,3,321,4,597,9,207,1.35,38,71,483,87,327,86,314,35,193,69,0.93,835,107,65,68,136,196,46,15,6,1
194,286,3.85,3,348,3,335,4,592,11,216,1.27,35,75,374,84,307,83,337,39,194,63,0.96,838,92,82,66,151,220,53,15,2,1
195,268,4.09,3,321,3,346,5,564,10,223,1.45,35,75,534,94,319,99,339,44,216,71,0.87,865,121,73,65,131,201,46,17,0,1
196,250,3.83,1,369,4,318,5,582,9,215,1.27,30,71,434,95,320,93,322,37,227,65,0.96,769,103,72,64,134,204,40,16,11,1
197,259,4.24,2,364,2,322,4,569,8,229,1.21,37,68,431,93,304,95,402,45,235,83,0.87,586,114,72,70,143,182,39,16,0,1
198,277,4.38,2,344,3,327,4,569,13,215,1.15,36,79,400,89,301,99,366,37,194,74,0.8,760,121,67,57,156,185,49,15,1,1
199,285,3.85,2,338,2,318,4,571,8,238,1.39,38,68,365,100,317,89,365,45,212,82,1.06,628,104,83,53,142,170,42,15,1,1
200,265,3.78,3,379,2,352,4,582,9,211,1.4,35,68,383,88,287,94,312,36,239,81,0.95,736,132,80,62,132,204,47,14,3,1
201,269,4.05,1,341,3,292,4,549,9,216,1.2,39,75,411,94,328,98,295,40,201,70,1.19,777,107,61,69,132,178,43,16,5,1
202,273,4.19,2,348,3,335,4,595,9,228,1.29,32,68,439,96,315,86,353,37,216,79,1.05,679,104,69,66,155,191,43,16,4,1
203,285,3.76,2,328,2,300,4,569,8,231,1.42,29,75,403,95,317,94,345,41,187,77,1.06,822,137,72,67,142,220,44,15,7,1
204,266,3.68,2,356,4,312,5,527,9,216,1.29,35,73,418,93,317,88,347,37,209,73,0.96,697,125,68,60,162,177,39,16,0,1
205,271,4.71,1,309,2,333,5,558,9,236,1.48,34,58,402,90,313,93,388,41,209,81,0.99,752,121,77,71,131,187,43,15,7,1
206,276,3.68,2,359,2,309,3,552,8,229,1.31,31,74,377,93,303,91,368,39,239,72,0.98,697,113,79,63,129,203,45,14,0,1
207,306,4.24,2,325,3,344,4,557,9,209,1.45,39,68,410,92,290,85,355,36,185,71,1,802,90,75,57,150,212,40,14,0,1
208,231,4.19,2,362,2,292,3,540,8,231,1.23,35,68,384,91,329,76,378,34,202,77,0.89,748,108,77,53,128,209,48,14,1,1
209,282,4.3,1,329,3,328,5,569,8,224,1.44,35,65,475,95,299,97,384,41,211,70,1.08,612,116,66,67,141,221,46,14,8,1
210,307,4.34,2,339,3,290,5,582,7,223,1.26,35,68,469,96,323,92,350,37,196,77,1,913,125,71,66,135,210,42,14,3,1
211,228,3.61,2,346,3,266,4,591,9,219,1.42,36,66,424,86,316,102,374,41,206,82,0.93,905,111,81,69,141,201,49,15,0,1
212,319,3.95,2,366,3,282,4,511,9,222,1.27,30,78,440,98,313,88,360,36,188,83,0.89,543,126,72,61,129,230,39,15,6,1
213,284,4.07,1,330,3,288,4,602,10,204,1.53,37,70,481,101,291,92,273,38,219,73,0.89,521,115,86,61,147,167,46,15,0,1
214,261,3.99,2,321,3,308,3,643,8,211,1.2,40,73,398,96,322,96,340,35,219,69,1.13,606,128,75,64,150,185,47,13,0,1
215,258,3.74,2,352,3,316,4,591,9,230,1.38,35,66,409,90,312,96,375,37,212,74,0.9,645,92,71,65,137,192,46,16,0,1
216,296,4.42,1,330,4,305,3,525,9,205,1.26,35,77,424,96,345,104,360,31,221,80,0.94,935,120,80,67,146,151,42,16,0,1
217,272,3.8,3,375,3,313,4,600,9,229,1.33,42,65,366,90,288,84,318,34,193,77,0.9,725,121,71,62,146,160,34,15,4,1
218,317,4.15,2,341,3,354,3,592,10,222,1.47,33,70,437,83,296,86,378,40,218,79,0.94,875,111,76,62,148,189,48,14,0,1
219,290,4.07,2,361,3,304,5,634,10,216,1.43,32,65,340,99,302,93,321,46,204,64,1,588,102,61,57,144,160,38,15,0,1
220,316,4.42,2,355,3,293,3,577,9,214,1.35,33,64,440,94,296,100,293,35,207,69,0.9,949,102,93,65,144,206,54,14,0,1
221,261,4.11,1,345,4,313,4,554,10,209,1.49,41,71,436,96,339,88,334,33,220,78,0.82,695,96,70,65,137,191,37,15,2,1
222,261,4.05,2,330,2,358,4,573,10,248,1.17,36,66,414,89,297,94,302,40,213,76,0.91,705,114,68,62,136,180,36,16,0,1
223,299,4.4,1,325,4,356,4,587,9,224,1.23,29,63,437,87,317,86,325,40,217,73,1.04,798,127,73,61,133,189,48,16,6,1
224,240,4.4,1,361,3,328,3,620,8,211,1.2,30,70,510,102,320,102,359,38,205,74,1.01,681,110,76,66,134,196,52,16,7,1
225,276,4.19,3,373,2,273,5,567,13,204,1.24,31,80,435,92,329,101,382,40,199,71,1.03,687,111,79,66,129,211,43,16,5,1
226,308,4.49,3,371,3,310,4,604,9,224,1.3,32,76,438,100,287,90,352,40,220,75,0.84,618,115,66,61,147,178,50,16,0,1
227,257,3.45,2,359,3,321,3,607,9,219,1.29,31,64,476,94,338,96,356,32,207,73,1.15,819,128,80,60,144,201,40,15,1,1
228,308,3.5,3,328,2,341,4,623,10,244,1.36,35,72,487,89,306,92,282,47,174,73,1.04,692,129,66,68,148,164,54,15,0,1
229,248,4.03,2,347,3,326,4,505,9,191,1.34,32,71,490,88,338,91,409,36,195,78,0.91,653,106,76,68,128,197,46,15,7,1
230,275,4.05,2,347,3,323,4,554,9,235,1.05,36,70,367,93,327,98,272,41,197,78,1.03,649,118,73,55,152,182,41,15,3,1
231,275,4.26,1,332,3,360,4,617,9,213,1.27,34,73,492,93,341,87,337,35,218,70,1.03,645,111,81,55,160,192,36,15,2,1
232,274,4.38,2,350,3,306,5,522,9,220,1.38,32,61,442,93,346,85,389,44,204,64,0.91,746,117,72,69,134,164,48,13,1,1
233,324,4.09,1,344,3,313,4,539,10,222,1.37,33,76,425,93,300,87,374,36,195,68,1.02,676,110,76,55,131,203,41,16,6,1
234,290,4.63,2,357,3,374,5,577,9,235,1.28,33,74,439,93,302,82,359,40,207,83,0.88,630,110,75,66,137,223,52,15,7,1
235,255,4.4,3,361,3,244,4,554,8,220,1.26,33,65,407,96,305,90,336,38,221,56,1.06,901,99,69,61,137,201,36,14,8,1
236,257,4.46,2,312,3,306,4,586,9,227,1.42,36,63,417,102,332,111,397,38,218,73,0.78,746,124,72,65,150,180,42,14,0,1
237,250,3.83,3,329,3,295,5,626,10,223,1.28,31,80,405,95,338,90,385,39,247,70,0.82,690,113,76,61,128,206,52,15,4,1
238,287,4.21,2,352,3,288,4,589,9,223,1.35,37,76,439,87,311,94,290,47,215,76,1.09,676,117,75,62,137,229,42,16,0,1
239,300,4.4,2,341,3,371,3,606,8,219,1.27,34,70,389,96,284,98,340,33,216,62,0.96,590,116,70,61,145,182,44,13,5,1
240,311,4.79,2,359,2,350,4,559,10,216,1.25,36,65,478,88,298,88,376,35,185,69,0.95,616,98,91,60,140,190,42,16,6,1
241,270,3.74,3,343,4,248,4,648,9,216,1.33,33,68,422,89,341,97,359,39,207,68,0.89,744,99,72,61,160,151,43,17,2,1
242,291,4.13,2,305,3,288,4,559,10,248,1.32,34,64,455,99,313,77,373,40,180,74,1,736,102,83,61,131,158,49,16,2,1
243,267,3.95,1,337,2,289,4,600,9,229,1.44,38,72,436,88,332,106,362,43,181,65,1.04,773,125,76,60,141,168,39,16,5,1
244,283,3.61,2,323,4,293,3,578,12,237,1.22,31,59,435,90,291,102,373,45,239,78,0.87,632,120,79,64,136,209,41,15,8,1
245,263,3.64,1,363,3,306,4,595,8,223,1.22,32,67,421,92,322,77,324,46,242,65,0.97,910,97,79,60,139,182,41,17,5,1
246,298,4.24,1,352,4,286,4,603,10,214,1.19,34,77,361,94,320,91,351,40,201,60,1.16,636,99,84,61,142,206,48,15,8,1
247,233,4.32,2,370,3,291,4,610,9,207,1.25,35,70,467,84,324,92,323,35,208,56,0.88,649,117,70,62,155,216,48,15,4,1
248,271,4.03,2,334,4,305,4,631,10,202,1.35,38,74,390,89,337,89,341,42,211,68,0.87,781,96,74,64,153,210,41,16,1,1
249,251,4.05,3,348,3,353,3,529,8,223,1.32,40,71,419,92,320,82,430,39,216,77,1.02,730,104,80,65,137,224,45,16,8,1
250,276,4.19,2,332,3,312,4,663,8,203,1.44,37,65,461,98,317,111,294,39,235,79,0.93,712,116,82,65,151,178,43,14,0,1
251,296,4.13,3,348,3,312,4,575,10,220,1.22,32,68,439,97,293,92,356,31,195,68,0.87,766,109,72,65,157,228,36,16,1,1
252,279,3.99,2,348,3,285,4,586,9,229,1.25,36,75,484,92,314,95,313,36,227,77,0.93,769,102,81,63,141,190,44,15,5,1
253,268,4.56,3,329,3,291,4,651,9,223,1.36,32,66,387,88,272,98,419,37,184,69,0.91,634,120,82,58,149,226,52,17,0,1
254,324,3.99,2,351,3,320,3,568,10,218,1.31,36,76,368,94,313,95,386,33,192,59,0.9,889,110,67,61,131,176,46,14,6,1
255,275,4.11,2,359,3,318,4,569,9,215,1.3,34,68,408,94,343,102,310,41,206,77,0.86,760,114,66,65,154,194,49,15,5,1
256,232,4.79,3,340,2,317,3,593,9,208,1.42,37,75,436,86,337,92,305,41,254,73,1.17,754,107,72,70,137,211,42,15,6,1
257,268,3.97,3,374,3,291,4,580,9,207,1.37,35,61,398,90,317,107,359,34,216,71,0.99,807,124,76,70,150,184,53,15,0,1
258,309,4.69,2,336,3,328,5,598,9,237,1.27,38,69,454,92,317,91,395,35,197,88,1.05,484,105,63,59,124,194,39,15,0,1
259,278,3.97,3,370,3,300,5,520,8,218,1.53,34,69,377,96,336,100,330,35,186,74,0.84,616,106,73,61,147,199,43,15,0,1
260,278,4.13,1,363,3,311,5,611,9,215,1.4,37,67,403,84,321,93,388,38,239,68,1.07,687,120,66,64,127,192,46,14,0,1
261,293,4.07,2,346,4,340,5,593,9,190,1.23,34,61,389,84,317,100,388,38,193,59,0.78,606,101,75,59,146,193,44,16,0,1
262,284,4.09,2,361,3,283,4,587,9,226,1.33,40,62,431,88,329,83,362,35,197,63,0.91,861,111,80,70,145,186,46,14,0,1
263,246,4.36,2,348,2,321,4,572,10,228,1.3,30,82,508,95,304,93,333,41,217,68,0.91,865,129,87,66,141,151,45,15,3,1
264,277,3.72,2,356,3,335,4,562,9,220,1.31,38,73,521,101,320,77,392,45,196,70,0.91,813,94,68,64,148,209,41,14,0,1
265,281,4.53,1,341,2,264,4,597,9,230,1.25,34,81,426,95,318,81,284,45,233,79,1.04,636,129,69,64,143,194,49,14,0,1
266,276,3.97,3,357,3,280,3,539,9,236,1.42,36,68,447,90,351,93,348,48,208,79,0.85,663,120,66,67,139,190,40,15,12,1
267,292,3.85,3,339,4,331,3,540,10,221,1.19,33,60,432,101,333,109,380,40,251,76,0.93,858,127,73,60,144,213,47,14,10,1
268,263,4.01,2,388,3,286,4,605,9,229,1.22,34,60,382,99,349,94,406,37,207,73,0.94,722,124,77,66,151,204,40,14,3,1
269,273,4.13,2,388,2,255,4,563,9,226,1.43,30,67,454,95,360,91,349,34,201,69,1.02,773,96,73,67,146,208,46,17,3,1
270,268,3.83,2,302,3,303,3,543,10,222,1.31,36,70,487,92,290,105,363,35,187,76,0.94,917,107,70,67,150,200,47,15,3,1
271,299,4.28,2,369,2,364,3,554,9,217,1.4,32,71,412,93,317,95,333,35,218,80,0.89,649,118,76,66,136,163,42,14,2,1
272,263,4.3,2,348,3,314,4,596,8,236,1.28,31,71,401,95,360,88,362,32,221,67,0.89,624,119,83,63,136,227,41,13,4,1
273,254,4.38,2,356,4,276,4,574,10,211,1.24,36,67,442,86,360,85,340,37,250,64,1.15,827,116,69,65,137,221,40,15,0,1
274,256,4.3,2,367,2,338,5,560,10,216,1.16,34,75,402,90,329,94,370,38,222,70,0.98,645,125,72,68,141,201,42,14,0,1
275,255,4.01,2,363,3,285,3,595,10,234,1.37,37,78,450,95,312,84,328,37,213,86,0.96,873,106,74,58,137,207,44,16,3,1
276,269,4.71,2,366,3,328,4,585,7,219,1.43,37,72,365,89,326,97,391,37,220,73,0.85,499,116,77,61,130,209,43,16,9,1
277,233,3.89,2,371,2,361,4,573,9,214,1.41,32,72,420,89,364,97,371,40,184,85,0.71,661,106,80,64,142,197,40,14,5,1
278,290,4.56,2,357,3,341,5,585,9,231,1.37,33,63,424,98,340,86,312,41,189,77,0.89,921,103,84,64,145,160,35,15,3,1
279,253,3.8,2,355,3,330,3,564,10,220,1.31,42,63,469,99,312,100,319,35,220,79,1.07,915,110,84,62,150,201,46,15,0,1
280,254,4.13,1,360,3,318,3,628,10,221,1.35,36,73,431,92,335,110,305,37,188,84,0.89,588,118,88,66,145,205,50,14,2,1
281,267,3.76,2,365,3,326,4,596,8,215,1.32,36,72,430,90,364,100,365,36,203,72,0.98,540,94,72,64,141,225,38,14,8,1
282,279,4.34,3,333,3,302,3,566,11,225,1.36,34,67,488,90,324,95,399,40,186,65,1.01,738,106,83,64,143,212,42,17,0,1
283,289,4.51,1,339,4,340,4,550,10,233,1.18,31,71,462,91,331,89,281,36,213,71,0.84,547,105,82,68,153,181,39,15,5,1
284,284,3.52,2,344,3,330,4,589,9,227,1.33,35,69,439,94,323,97,395,38,199,79,0.82,626,115,80,58,140,185,42,16,5,1
285,276,3.93,1,371,3,290,4,574,9,224,1.22,34,71,416,95,354,89,296,31,209,68,0.97,758,93,63,64,144,189,37,15,7,1
286,282,3.85,2,320,4,311,3,566,9,215,1.27,31,73,409,83,311,101,338,42,221,75,0.94,738,108,74,65,136,177,40,17,4,1
287,282,3.8,2,343,3,283,4,561,8,228,1.14,37,73,400,89,314,96,346,48,247,69,0.78,835,130,79,59,142,176,47,14,1,1
288,256,4.13,2,348,3,282,4,575,8,246,1.35,35,77,512,91,325,87,346,46,216,75,1.01,771,98,69,61,141,217,39,15,6,1
289,270,4.24,2,350,3,327,3,564,9,225,1.45,34,77,409,97,334,88,361,37,225,71,0.92,894,110,82,62,156,184,42,17,0,1
290,308,4.36,2,312,3,312,5,636,9,229,1.38,38,72,356,91,296,93,383,38,235,75,0.82,482,113,75,59,129,183,43,16,3,1
291,308,3.8,2,346,3,297,5,588,9,219,1.28,36,64,435,94,319,103,377,37,216,75,0.99,545,108,66,68,143,193,48,15,0,1
292,275,3.99,1,333,3,306,3,620,9,219,1.34,33,72,421,88,329,104,375,40,202,62,1.1,969,128,74,58,134,165,44,17,1,1
293,282,4.49,2,382,4,305,4,603,9,205,1.43,39,71,384,87,320,91,340,40,227,83,0.85,707,119,79,69,146,232,46,16,1,1
294,276,4.36,3,358,3,346,3,524,9,219,1.36,35,73,403,94,337,103,417,38,217,62,0.9,725,123,72,66,143,194,45,15,0,1
295,242,4.03,2,336,3,327,4,614,12,215,1.25,36,73,493,97,308,93,373,40,231,73,0.83,636,114,78,59,143,209,39,16,0,1
296,301,3.95,1,337,3,299,4,589,9,218,1.12,36,70,502,88,284,98,362,34,181,84,1.09,482,106,88,61,139,192,40,13,6,1
297,239,4.17,2,319,3,342,4,554,10,233,1.33,32,68,448,91,336,83,302,38,202,69,0.78,746,110,81,63,142,219,39,16,0,1
298,259,3.74,2,344,3,279,4,549,9,207,1.44,30,66,505,90,293,96,335,34,190,90,0.93,534,127,80,60,136,210,43,13,9,1
299,267,4.53,3,327,4,291,3,561,9,213,1.27,38,71,401,95,322,77,365,38,212,79,0.89,781,94,79,71,135,183,41,15,0,1
300,284,4.34,2,313,3,334,4,591,9,231,1.5,32,75,432,91,289,92,318,36,190,70,0.91,756,93,66,64,137,217,45,16,8,1
301,270,3.93,2,354,3,347,4,578,9,208,1.31,39,72,437,91,324,99,371,36,218,76,0.85,762,87,79,66,149,189,45,16,8,1
302,275,4.13,3,318,3,345,4,591,8,218,1.24,36,66,394,84,341,91,356,37,191,64,0.85,665,115,70,70,151,212,44,17,1,1
303,275,4.15,2,356,3,295,4,603,9,200,1.28,37,79,387,90,311,103,350,34,223,70,0.83,647,130,79,63,141,203,45,15,2,1
304,293,4.11,2,334,2,364,4,546,9,211,1.46,31,71,432,95,316,82,343,34,214,83,0.78,657,105,73,66,142,205,41,15,5,1
305,261,4.32,2,364,3,319,4,573,9,225,1.17,39,61,408,92,326,105,290,35,169,73,0.98,917,112,83,65,140,170,45,14,7,1
306,273,4.46,2,350,3,308,4,592,8,204,1.43,37,70,504,91,343,95,317,43,232,72,1.03,701,120,59,59,151,192,45,14,9,1
307,300,4.03,2,364,4,335,5,543,8,205,1.35,36,69,469,97,289,90,378,46,196,80,0.82,712,115,72,66,138,224,43,16,5,1
308,263,3.5,2,346,3,303,4,651,8,228,1.24,34,68,403,94,344,97,354,34,222,88,0.91,703,105,73,53,146,181,38,16,0,1
309,269,4.51,1,317,3,340,3,592,9,194,1.38,38,68,487,97,320,91,319,37,223,71,0.73,883,113,73,66,155,151,46,14,4,1
310,279,4.28,2,311,3,320,5,534,10,211,1.34,33,71,473,87,305,95,430,34,253,87,0.94,712,103,76,57,142,225,42,15,0,1
311,283,4.17,2,341,3,323,4,589,9,232,1.37,36,78,453,97,330,81,394,37,211,75,0.92,769,104,85,63,140,179,45,15,4,1
312,255,3.64,2,372,2,352,4,577,9,202,1.4,33,66,477,84,289,94,361,38,206,90,0.93,720,102,77,65,153,169,43,15,4,1
313,276,4.26,2,373,3,273,3,538,9,204,1.27,36,70,447,88,329,90,340,47,214,73,0.88,712,111,66,61,146,173,49,16,0,1
314,303,4.05,2,336,3,320,4,534,8,221,1.36,37,69,389,89,340,91,356,34,219,70,1.06,829,106,75,61,132,181,45,15,3,1
315,270,4.36,2,358,2,244,4,524,9,215,1.46,36,71,470,93,309,102,314,38,181,74,0.97,929,94,72,66,146,200,40,14,7,1
316,275,4.21,2,324,3,323,5,539,10,203,1.32,38,60,428,90,305,97,388,37,216,74,0.95,626,123,78,65,137,188,43,13,0,1
317,264,4.24,2,327,3,297,4,657,10,231,1.42,32,64,391,97,308,85,337,36,217,75,0.87,819,104,75,66,138,186,46,14,0,1
318,287,4.69,2,354,3,280,4,576,9,220,1.34,34,70,386,91,344,96,350,43,185,65,1.12,750,108,68,65,147,176,43,15,3,1
319,254,4.46,2,338,3,305,4,561,9,238,1.4,38,72,390,92,336,85,372,44,233,83,0.97,851,103,82,66,145,222,42,15,2,1
320,285,5.16,3,484,2,258,2,599,12,276,0.9,34,74,376,97,348,69,331,66,165,98,1.64,1070,94,59,90,92,145,41,16,4,2
321,311,4.79,4,451,2,275,1,637,7,237,0.9,39,69,424,100,331,67,317,68,175,105,1.54,899,92,63,117,104,140,37,15,1,2
322,317,5.18,3,425,2,234,2,576,8,268,1.01,33,77,418,87,325,69,328,69,181,97,1.47,975,76,55,98,104,164,45,16,0,2
323,297,5.36,4,397,2,254,3,675,7,296,0.92,39,79,396,96,297,67,331,77,189,98,1.26,756,79,68,109,127,155,41,15,2,2
324,289,5.14,4,450,2,276,1,636,7,237,0.87,38,69,356,99,305,68,320,76,202,93,1.45,786,84,73,101,107,138,45,15,4,2
325,300,4.9,3,456,1,303,1,621,8,277,0.97,34,62,407,105,333,61,273,67,183,111,1.53,861,78,61,115,113,126,40,14,1,2
326,317,5.07,4,495,2,303,2,613,7,266,1,38,65,367,109,331,70,287,71,183,104,1.22,842,73,62,96,104,149,39,15,0,2
327,269,5.43,3,434,2,256,2,619,8,235,0.91,32,68,392,93,332,60,317,77,173,97,1.51,977,71,67,106,110,122,44,17,2,2
328,285,4.95,5,478,2,275,2,600,7,276,1.08,40,61,396,101,362,64,359,66,173,102,1.67,712,79,57,104,108,160,43,16,5,2
329,312,5.2,4,461,2,268,3,674,6,263,0.9,36,72,405,96,291,62,332,60,196,104,1.59,795,67,53,114,118,144,42,14,0,2
330,325,4.71,4,396,1,271,3,601,6,283,1.1,35,67,402,105,330,60,327,76,184,98,1.56,889,76,73,93,116,150,41,15,2,2
331,324,5.28,4,472,2,260,2,603,7,254,0.93,43,76,375,100,348,69,318,78,187,101,1.56,851,82,67,103,111,145,40,14,0,2
332,288,5.05,4,430,1,298,3,628,8,240,1.11,34,71,364,97,356,66,329,72,179,98,1.54,736,87,67,91,120,180,43,16,4,2
333,300,5.16,3,447,2,278,3,576,7,308,0.95,38,70,374,105,330,61,308,62,177,95,1.52,734,87,72,110,109,155,37,15,0,2
334,320,5.86,4,359,2,270,2,578,7,233,0.88,39,64,402,90,394,63,312,74,178,102,1.52,945,87,64,103,130,165,39,15,1,2
335,303,4.69,4,515,2,222,3,656,7,280,0.89,36,79,385,88,343,67,338,72,180,107,1.47,725,89,62,104,112,139,40,15,2,2
336,331,5.16,4,441,3,276,2,608,6,275,0.86,35,77,365,95,374,69,315,73,186,92,1.42,1030,76,57,100,110,145,43,15,4,2
337,285,5,4,460,2,285,3,566,7,250,1.15,36,80,364,92,326,63,311,68,176,108,1.58,942,85,52,100,103,158,38,14,4,2
338,344,5.23,5,431,1,280,2,612,7,286,0.88,35,64,393,92,326,63,311,65,185,108,1.47,1022,90,63,105,111,163,41,13,3,2
339,283,4.79,4,437,1,271,2,560,8,226,1.13,36,71,351,97,351,67,306,67,195,101,1.61,752,78,62,91,101,167,38,13,6,2
340,278,5.16,4,343,2,277,2,648,7,280,0.9,33,62,360,102,303,68,311,71,198,98,1.52,827,80,72,92,121,162,41,17,0,2
341,296,4.71,4,395,2,264,2,626,7,237,1.15,36,57,373,91,368,69,323,60,181,99,1.45,929,83,58,108,118,157,43,16,1,2
342,289,4.71,4,395,2,266,3,580,7,290,0.87,35,71,397,99,338,73,282,70,188,104,1.59,975,79,59,98,118,177,46,15,1,2
343,275,5.2,3,408,1,259,2,621,7,289,0.94,35,71,432,99,335,59,312,73,180,91,1.37,1009,91,49,109,102,171,43,16,0,2
344,320,5.1,4,479,2,257,2,606,7,241,0.84,35,77,395,94,368,63,318,71,192,92,1.37,610,79,62,100,107,164,45,15,3,2
345,284,5.53,5,462,1,257,2,591,8,277,0.9,37,65,387,94,378,78,290,62,182,92,1.46,917,91,63,102,95,153,42,16,1,2
346,297,4.63,3,396,1,274,2,586,6,205,1.08,34,68,360,102,349,63,309,60,183,100,1.37,576,80,53,113,93,138,40,15,2,2
347,304,5.23,4,479,2,262,3,676,7,205,1.09,39,82,417,105,370,74,352,53,168,99,1.5,831,72,63,98,117,174,45,16,2,2
348,271,4.95,4,421,2,276,2,597,6,251,0.91,41,67,402,98,346,72,304,69,184,97,1.51,728,83,51,106,107,149,42,15,2,2
349,340,4.79,4,396,2,247,2,593,7,250,0.91,41,72,379,96,391,66,304,69,179,97,1.33,676,75,62,101,109,170,46,15,1,2
350,289,5.33,4,425,2,253,2,552,8,250,0.95,33,70,384,97,386,68,302,68,190,109,1.49,910,85,72,88,116,166,38,14,0,2
351,291,4.95,4,476,3,252,2,666,7,265,1,37,73,384,98,303,64,304,70,175,98,1.31,891,80,63,97,114,146,40,15,3,2
352,277,5.28,4,440,2,258,1,597,8,230,1.1,36,70,368,93,331,62,312,70,203,94,1.47,851,74,59,101,92,162,39,14,3,2
353,299,5.4,5,415,2,254,3,579,8,283,0.99,35,69,346,98,355,68,273,46,177,103,1.49,798,85,70,109,115,158,41,17,3,2
354,287,5.18,4,417,3,275,1,622,7,276,1.04,38,80,387,100,368,67,330,69,180,93,1.48,861,89,66,102,102,159,45,16,4,2
355,302,4.95,4,439,2,272,2,603,7,286,0.97,36,66,363,104,361,59,330,77,185,111,1.48,638,84,49,99,116,131,45,14,0,2
356,304,5.23,4,411,2,246,2,655,7,284,1.08,35,69,437,104,298,69,316,76,177,96,1.39,746,87,69,99,97,166,46,15,1,2
357,315,5.58,4,412,1,247,2,581,7,250,0.88,33,79,410,106,360,65,340,72,186,101,1.22,1030,84,62,104,112,145,44,14,2,2
358,317,5.05,4,400,2,272,2,528,7,250,0.84,33,65,411,97,334,66,325,54,183,108,1.56,873,81,64,107,119,165,39,14,1,2
359,326,4.58,4,456,3,271,1,568,6,250,0.95,34,79,363,104,378,71,304,74,171,106,1.45,769,72,52,96,120,148,41,16,6,2
360,333,4.79,3,538,3,272,1,650,7,260,1.03,38,63,384,100,359,68,333,70,186,87,1.41,919,78,51,96,119,160,44,13,2,2
361,300,5,4,427,2,232,3,630,7,285,0.84,35,69,420,97,358,64,325,80,194,101,1.53,894,85,71,113,110,161,41,14,1,2
362,304,4.58,4,398,3,297,2,609,7,249,0.98,37,69,395,90,346,68,318,71,195,99,1.48,986,80,69,103,121,150,46,15,0,2
363,320,5,4,343,2,259,1,585,7,262,0.85,38,78,397,101,376,73,350,70,177,106,1.53,921,94,55,107,103,181,41,15,1,2
364,293,4.87,4,385,2,305,2,649,8,307,0.82,33,65,381,95,332,68,317,68,162,95,1.4,789,73,55,95,110,139,39,14,2,2
365,289,5.38,4,438,2,275,2,615,8,274,1.03,37,74,374,95,355,69,325,78,170,95,1.48,728,98,70,103,107,147,42,15,1,2
366,301,5.53,5,451,1,278,3,668,7,297,0.91,39,66,397,104,328,63,318,71,190,98,1.63,655,90,58,90,113,150,39,13,2,2
367,326,5.28,4,461,2,241,1,600,7,283,1.02,39,68,362,99,360,55,301,59,185,96,1.46,793,80,62,99,102,158,44,14,5,2
368,300,5.58,4,358,2,273,2,581,7,251,0.94,40,71,404,96,335,61,309,60,178,101,1.52,786,83,63,104,98,137,41,16,3,2
369,306,5.1,4,419,2,242,2,592,7,286,0.83,35,65,353,92,412,70,351,76,177,99,1.52,877,77,59,123,110,149,42,15,2,2
370,332,5.05,3,434,2,295,3,614,6,234,0.96,38,68,381,94,344,55,296,69,196,96,1.48,851,90,57,104,107,144,41,15,3,2
371,314,5.28,5,517,2,289,2,660,8,287,0.97,35,62,390,105,336,71,331,71,197,87,1.34,703,75,54,106,114,161,39,14,3,2
372,293,4.6,4,498,3,272,2,668,7,290,0.98,40,71,418,98,303,74,299,78,183,108,1.57,875,85,73,88,112,138,43,14,0,2
373,338,5.45,4,449,2,279,2,652,7,253,0.96,35,72,380,99,379,63,314,45,180,104,1.52,960,77,49,102,103,160,39,17,5,2
374,306,5.38,3,539,2,266,1,630,6,265,0.92,34,65,396,91,324,70,359,74,175,99,1.46,775,87,60,111,108,170,42,14,6,2
375,270,4.87,4,539,3,296,2,712,7,286,0.97,37,68,387,100,355,67,343,60,189,105,1.57,813,82,60,116,109,156,47,13,1,2
376,335,5.45,4,423,2,257,3,582,7,245,1.03,35,69,356,89,345,60,354,62,176,101,1.42,679,74,49,102,159,154,46,16,4,2
377,258,5,5,418,3,296,2,587,6,248,0.86,38,61,404,100,298,75,325,76,176,105,1.57,807,95,58,113,113,161,37,15,1,2
378,289,5.66,4,400,2,243,3,579,7,296,0.92,39,64,441,102,340,63,314,70,204,94,1.47,819,80,55,103,118,161,43,13,3,2
