ID,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,Class_0 or 1
1209,4,2034,4,7,0.244375,5,0
1210,1,2,1,1,0.024375,1,0
1211,11,961,2,27,2.669375,9,0
1213,1,24,1,1,0.024375,1,0
1215,2,270,1,2,0.0475,2,0
1216,1,383,2,1,0.024375,1,0
1217,5,16143,6,15,0.884375,8,0
1218,2,22,1,2,0.0975,1,0
1219,1,2,1,1,0.024375,1,0
1221,1,2,1,1,0.024375,1,0
1222,1,6,2,2,0.0475,2,0
1223,1,2,1,1,0.024375,1,0
1224,1,2,1,1,0.024375,1,0
1225,1,6,2,2,0.0475,2,0
1226,1,5410,3,20,3.8,3,0
1227,1,2,1,1,0.024375,1,0
1228,1,3,1,3,0.219375,1,0
1229,1,785,2,1,0.024375,1,0
1232,1,30,1,1,0.024375,1,0
1233,1,30,1,1,0.024375,1,0
1234,1,7,1,1,0.024375,1,0
1236,3,4316,2,9,0.774375,3,0
1237,2,4248,3,8,0.76,2,0
1238,1,35,1,1,0.024375,1,0
1239,1,70,1,1,0.024375,1,0
1240,1,35,1,1,0.024375,1,0
1242,2,96,1,2,0.0975,1,0
1243,3,2702,1,13,1.519375,3,0
1244,1,1660,1,1,0.024375,1,0
1245,1,3339,2,2,0.0475,2,0
1246,2,551,1,3,0.119375,2,0
1247,2,3450,3,2,0.0475,2,0
1248,1,33,1,1,0.024375,1,0
1249,1,107,4,4,0.39,1,0
1250,1,364,1,1,0.024375,1,0
1251,1,6839,6,4,0.39,1,0
1252,1,16944,10,85,148.509375,3,0
1253,1,108,2,2,0.0975,1,0
1255,1,16916,6,6,0.4775,2,0
1256,1,1640,3,20,9.75,1,0
1257,1,8544,4,64,87.84,2,0
1258,2,7720,4,65,80.184375,2,0
1259,2,10816,4,7,0.294375,4,1
1262,2,93,1,7,1.194375,1,0
1265,1,184,1,1,0.024375,1,0
1266,1,40,1,1,0.024375,1,0
1267,1,73.4,1,1,0.024375,1,0
1268,1,1698,1,1,0.024375,1,0
1269,2,414,2,3,0.119375,2,0
1270,1,16,2,2,0.0975,1,0
1271,1,17,4,4,0.24,2,0
1272,1,330,1,1,0.024375,1,0
1273,1,29.95,1,1,0.024375,1,0
1274,1,17,3,2,0.0975,1,0
1276,1,34,1,1,0.024375,1,0
1277,1,134,1,1,0.024375,1,0
1278,1,5,1,1,0.024375,1,0
1279,1,73,1,1,0.024375,1,0
1280,1,69,1,1,0.024375,1,0
1281,1,69,1,1,0.024375,1,0
1282,1,25,1,1,0.024375,1,0
1283,1,25,1,1,0.024375,1,0
1284,1,13,1,1,0.024375,1,0
1285,1,197,1,3,0.219375,1,0
1287,1,5,1,1,0.024375,1,0
1288,1,5,1,1,0.024375,1,0
1289,3,240,2,3,0.119375,2,0
1290,6,1057,2,17,7.044375,1,0
1291,3,750,1,3,0.219375,1,0
1292,1,8,2,1,0.024375,1,0
1293,1,6,2,1,0.024375,1,0
1294,1,1,2,1,0.024375,1,0
1295,1,1,2,1,0.024375,1,0
1296,1,1,2,1,0.024375,1,0
1297,1,1,2,1,0.024375,1,0
1298,1,1,2,1,0.024375,1,0
1299,1,1,2,1,0.024375,1,0
1300,1,1327,1,7,1.194375,1,0
1302,1,7,1,1,0.024375,1,0
1305,1,1326,1,1,0.024375,1,0
1306,1,37,1,1,0.024375,1,0
1307,1,37,1,1,0.024375,1,0
1308,1,37,1,1,0.024375,1,1
1309,1,94,1,1,0.024375,1,0
1310,1,95,1,1,0.024375,1,0
1311,1,69,1,1,0.024375,1,0
1312,1,70,1,1,0.024375,1,0
1313,1,341,2,1,0.024375,1,0
1314,1,458,2,1,0.024375,1,0
1315,1,411,3,2,0.0475,2,0
1316,2,1191,2,8,0.96,2,0
1318,1,2480,1,1,0.024375,1,0
1319,1,3500,2,2,0.0475,2,0
1320,1,60,1,1,0.024375,1,0
1321,1,60.9,1,1,0.024375,1,1
1322,2,342,1,8,0.91,3,0
1323,2,505,1,2,0.0475,2,1
1324,1,19,1,1,0.024375,1,0
1325,1,25,1,1,0.024375,1,1
1326,1,144,1,1,0.024375,1,0
1327,1,7,1,1,0.024375,1,0
1328,1,93,2,2,0.0975,1,0
1329,1,95,1,1,0.024375,1,0
1330,1,332,2,2,0.0975,1,0
1331,1,5,1,1,0.024375,1,0
1332,3,117,1,6,0.6275,2,0
1333,1,380,1,1,0.024375,1,0
1334,1,24,3,3,0.119375,2,0
1335,1,136,1,1,0.024375,1,0
1336,1,24,1,1,0.024375,1,0
1337,1,68,1,1,0.024375,1,0
1338,1,24,1,1,0.024375,1,0
1339,1,48,1,1,0.024375,1,0
1340,1,68,1,1,0.024375,1,0
1341,1,320,1,3,0.219375,1,0
1342,1,48,1,1,0.024375,1,0
1343,1,212.5,2,1,0.024375,1,0
1344,1,21,1,1,0.024375,1,0
1345,1,2,1,1,0.024375,1,0
1349,1,2,1,1,0.024375,1,0
