ID,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,Class_0 or 1
652,5,6923,2,8,0.31,5,0
653,5,23138,14,39,4.874375,13,0
654,15,6809.97,5,42,2.6975,19,0
655,1,401,5,6,0.2775,4,0
656,3,101,1,6,0.1775,5,0
657,2,676,4,10,0.4375,6,0
658,5,864,2,7,0.244375,5,0
659,1,42.45,1,3,0.069375,3,0
660,4,5102,3,27,1.969375,12,0
661,14,28943,11,26,1.1275,13,0
662,20,5698,4,58,9.9975,11,0
663,29,5220,5,150,33.7375,23,0
664,3,204,3,7,0.344375,4,0
665,1,160,3,2,0.0975,1,0
666,1,437.1,1,3,0.069375,3,0
668,42,8617.3,5,437,86.819375,38,0
669,37,6229,3,352,62.41,39,0
670,40,8137,4,254,27.8275,39,0
671,41,12115,4,294,24.7275,39,0
672,26,22315,11,231,26.724375,36,0
674,41,12522.2,4,225,112.234375,36,0
675,35,14600.5,6,247,31.444375,36,0
676,29,11981,5,166,16.8775,34,0
677,34,18152.7,7,152,6.21,38,0
678,20,7178,4,75,2.359375,30,1
679,1,20,1,1,0.024375,1,1
680,26,3741,3,77,8.969375,19,1
681,16,3469,1,38,4.3475,11,1
682,35,11108,9,141,21.199375,26,1
683,3,39,1,5,0.409375,2,0
684,6,339,2,8,0.31,6,0
685,1,333.5,1,2,0.0975,1,1
686,1,28,1,1,0.024375,1,0
687,8,2230,3,29,1.949375,12,1
688,4,1198.7,6,14,0.6775,8,1
689,3,1186,5,12,0.36,9,1
690,1,4193,2,22,5.3975,3,1
691,17,11013.6,13,85,12.609375,20,1
692,16,3786.5,3,72,8.01,21,1
693,5,4770,5,26,2.1275,8,1
694,6,7029.2,4,18,0.7975,10,0
695,8,29265,17,123,48.519375,10,1
696,3,917,1,7,0.144375,7,0
697,4,2731.4,2,20,2.8,7,0
698,9,270.5,6,16,0.69,10,1
699,2,1023,1,3,0.119375,2,0
700,21,7980.5,6,85,6.459375,21,0
701,1,92,1,1,0.024375,1,1
702,1,147,1,2,0.0475,2,1
703,4,408,1,5,0.159375,4,1
704,1,35,1,1,0.024375,1,1
705,1,70,1,1,0.024375,1,1
706,1,99,1,1,0.024375,1,1
707,1,30,1,2,0.0475,2,1
708,1,160,3,3,0.069375,3,1
709,6,4075.8,3,63,18.894375,10,1
710,21,5558,4,111,12.924375,24,1
711,8,2221,1,11,0.349375,8,1
712,3,2927,4,17,1.494375,6,1
713,1,383.5,1,6,0.1775,5,0
714,1,142.7,2,1,0.024375,1,0
715,3,259.2,7,9,0.324375,7,0
716,1,4,1,1,0.024375,1,0
717,5,113.2,1,10,0.4875,5,0
718,1,29.8,1,1,0.024375,1,1
719,2,93.6,1,8,1.21,2,0
720,3,1253,1,13,0.419375,9,0
721,2,454,4,9,0.624375,4,0
722,1,338,6,9,0.674375,3,0
723,1,208,2,4,0.24,2,0
724,27,28534,10,80,4.7,25,0
725,1,408,4,16,1.04,7,0
726,3,115,2,3,0.119375,2,0
727,13,3648.7,2,100,9.1,25,0
728,14,4937,4,38,2.3475,18,0
730,15,2815.2,2,43,2.369375,18,0
731,1,5000,1,1,0.024375,1,0
732,5,1530.2,1,19,3.849375,3,0
733,7,310,1,14,0.7275,7,0
734,3,311.25,5,7,0.294375,4,0
735,2,2611,1,5,0.159375,4,0
736,6,8623,3,12,0.41,9,0
737,1,6,1,2,0.0975,1,0
738,22,1390,4,76,5.84,26,0
739,30,3227,2,144,11.04,30,0
740,35,5284,4,229,19.349375,37,0
741,1,6,1,1,0.024375,1,1
744,9,1275,5,38,3.2475,14,0
746,3,854,1,11,0.449375,7,0
747,4,167,2,5,0.259375,3,0
748,7,936,2,14,0.6775,8,1
749,5,481,2,9,0.224375,8,0
750,5,3561,4,20,1.3,9,0
751,10,4675,4,25,0.984375,14,0
752,9,4245,1,17,0.794375,10,0
753,12,29070,18,36,1.69,17,0
754,7,5403,4,17,1.194375,8,0
755,3,7000,1,27,8.219375,6,0
756,6,1024,1,8,0.26,6,0
759,2,849,2,3,0.119375,2,1
760,1,1110,3,3,0.219375,1,1
761,4,96.4,1,9,1.274375,2,1
762,20,7080,8,87,16.794375,16,1
763,12,6408,8,41,5.474375,16,1
764,11,4299,6,30,2.1375,13,1
