id,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,class
690,1,288,1,3,0.069375,3,0
691,1,237,1,1,0.024375,1,0
692,1,293,1,1,0.024375,1,0
693,3,1289,4,5,0.109375,5,0
694,6,5302,3,26,1.5275,11,0
695,8,15189,5,31,1.924375,15,1
696,4,3927,3,21,0.799375,12,0
697,8,10583,2,33,1.694375,15,0
698,4,5458,3,10,0.6375,5,0
699,4,6647,4,15,0.784375,8,1
700,9,10305,7,178,38.7475,29,0
701,9,2375,4,35,3.309375,12,0
702,3,21920,8,10,0.5375,6,0
703,3,522,3,6,0.2275,4,0
704,1,1312,4,4,0.24,2,0
705,1,500,2,2,0.0975,1,0
706,4,2014,3,12,0.31,10,0
707,1,576,2,4,0.39,1,0
708,3,1421,2,9,0.524375,4,0
709,17,6918,3,44,1.79,20,0
710,19,17005,6,54,2.5775,26,0
711,7,3237,3,11,0.299375,9,0
712,5,6364,5,10,0.7375,5,0
713,9,2548,2,58,18.5975,9,0
714,10,15454,1,36,1.69,19,0
715,1,10,1,1,0.024375,1,0
716,2,2514.2,1,15,4.134375,3,1
717,1,710,2,19,2.549375,5,0
718,1,3797.32,1,9,0.974375,2,0
719,4,46,1,5,0.159375,4,0
720,1,797,2,6,0.2275,4,0
721,2,7.7,1,2,0.0475,2,0
722,1,163,2,4,0.09,4,0
723,1,67,1,1,0.024375,1,1
724,1,101,3,2,0.0475,2,0
725,2,17,1,3,0.119375,2,0
726,2,193,3,5,0.159375,4,1
727,1,305.4,4,2,0.0975,1,1
728,2,170,1,4,0.09,4,1
729,7,3576,2,20,0.9,11,0
730,3,15375,14,16,1.09,9,0
731,1,220,1,2,0.0475,2,0
732,3,15670,7,12,0.61,6,0
733,2,14415,4,5,0.159375,4,0
734,1,341,1,2,0.0975,1,0
735,1,32605,7,7,0.494375,3,0
736,2,14368,6,3,0.069375,3,1
737,14,15072,4,18,0.8975,9,0
738,5,11117,5,9,0.374375,6,0
739,14,28599,7,45,2.209375,19,1
740,8,28457,9,20,0.85,12,1
741,1,18981,5,3,0.119375,2,1
742,1,363.34,1,2,0.0475,2,1
743,1,705.5,1,2,0.0475,2,1
744,1,685,12,14,0.8775,7,1
745,1,680,11,12,0.61,6,1
746,7,1061,2,12,0.61,7,1
747,2,327,1,10,1.2375,2,1
748,1,278,3,5,0.409375,2,1
749,4,1556,2,17,1.044375,11,1
750,5,4509,2,16,0.59,11,1
751,12,960,1,31,2.024375,15,1
752,15,3493,5,59,6.399375,21,1
753,11,1686,3,19,1.399375,11,1
754,13,5538,1,34,2.0775,15,0
755,12,7226,5,19,0.699375,12,0
756,11,12617,3,28,2.46,10,0
757,10,1023,1,29,1.849375,14,0
758,1,58.4,1,4,0.14,3,0
759,2,129,1,2,0.0475,2,0
760,1,119.8,1,1,0.024375,1,0
761,15,1038.55,4,66,5.2775,24,1
762,11,4236,4,46,8.4775,12,1
768,3,3545,2,15,0.734375,7,1
769,1,200,1,1,0.024375,1,1
770,1,363,1,3,0.069375,3,1
771,14,1005.9,5,47,3.344375,16,1
772,1,792,2,5,0.409375,2,1
